norad_id,track_id,period_sec,downloaded_products
10025,8093488,11.74,8093488_L.png;8093488_S.png;8093488_D.png;8093488_P.png;8093488_F.png;8093488_R.png;8093488_M.png;8093488_P.png
10025,10114859,11.76,10114859_L.png;10114859_S.png;10114859_D.png;10114859_P.png;10114859_F.png;10114859_R.png;10114859_M.png;10114859_P.png
10025,10359326,11.83,10359326_L.png;10359326_S.png;10359326_D.png;10359326_P.png;10359326_F.png;10359326_R.png;10359326_M.png;10359326_P.png
10025,10419535,11.85,10419535_L.png;10419535_S.png;10419535_D.png;10419535_P.png;10419535_F.png;10419535_R.png;10419535_M.png;10419535_P.png
10025,10882744,11.86,10882744_L.png;10882744_S.png;10882744_D.png;10882744_P.png;10882744_F.png;10882744_R.png;10882744_M.png;10882744_P.png
10025,12481309,11.98,12481309_L.png;12481309_S.png;12481309_D.png;12481309_P.png;12481309_F.png;12481309_R.png;12481309_M.png;12481309_P.png
10025,12672176,11.96,12672176_L.png;12672176_S.png;12672176_D.png;12672176_P.png;12672176_F.png;12672176_R.png;12672176_M.png;12672176_P.png
10025,15073777,12.03,15073777_L.png;15073777_S.png;15073777_D.png;15073777_P.png;15073777_F.png;15073777_R.png;15073777_M.png;15073777_P.png
10025,21881793,12.39,21881793_L.png;21881793_S.png;21881793_D.png;21881793_P.png;21881793_F.png;21881793_R.png;21881793_M.png;21881793_P.png
10025,25415443,12.44,25415443_L.png;25415443_S.png;25415443_D.png;25415443_P.png;25415443_F.png;25415443_R.png;25415443_M.png;25415443_P.png
10025,25533920,12.37,25533920_L.png;25533920_S.png;25533920_D.png;25533920_P.png;25533920_F.png;25533920_R.png;25533920_M.png;25533920_P.png
10025,27890120,12.53,27890120_L.png;27890120_S.png;27890120_D.png;27890120_P.png;27890120_F.png;27890120_R.png;27890120_M.png;27890120_P.png
