pixel_x,time_seconds,magnitude,magnitude_smooth
56,-191.80283395955723,-1.5363377313761641,-1.346028591269366
57,-191.09007667094085,-1.1557194511625677,-1.1557194511625677
58,-190.37731938232443,-1.1557194511625677,-1.346028591269366
59,-189.664562093708,-2.435980939153756,-1.346028591269366
60,-188.95180480509163,0.020737051315822264,-1.1557194511625677
61,-188.2390475164752,-1.544988146835564,-1.3503537989990657
62,,,
63,,,
64,,,
65,,,
66,,,
67,-183.96250378477677,-1.121117789324968,-1.4022562917554655
68,-183.24974649616036,-0.9740607265151691,-1.6833947941859628
69,-182.53698920754394,-1.7266468714829626,-1.6790695864562628
70,-181.82423191892752,-1.6833947941859628,-1.674744378726563
71,-181.11147463031114,-1.8045006106175618,-1.674744378726563
72,-180.39871734169472,-1.674744378726563,-1.674744378726563
73,-179.6859600530783,-1.1903211130001674,-1.3719798376475656
74,-178.97320276446192,-1.2249227748377667,-1.3719798376475656
75,-178.2604454758455,-0.8270036637053702,-1.3719798376475656
76,-177.54768818722908,-1.3719798376475656,-1.2249227748377667
77,-176.8349308986127,-1.3806302531069656,-1.2249227748377667
78,-176.12217360999628,-1.6314923014295633,-0.8270036637053702
79,-175.40941632137987,-0.7578003400301707,-1.1903211130001672
80,-174.69665903276348,-0.6885970163549717,-1.1903211130001672
81,-173.98390174414706,-0.7058978472737714,-1.1903211130001672
82,-173.27114445553065,-1.1903211130001672,-1.1903211130001672
83,-172.55838716691423,-1.5103864849979642,-1.2249227748377667
84,-171.8456298782978,-1.4930856540791644,-1.2249227748377667
85,-171.13287258968143,-1.2941260985129661,-1.2249227748377667
86,-170.420115301065,-1.2249227748377667,-1.2595244366753664
87,-169.7073580124486,-0.809702832786571,-1.2249227748377667
88,-168.9946007238322,0.0899403749910217,-0.9308086492181697
89,-168.2818434352158,-1.2595244366753664,-0.88755657192117
90,-167.56908614659937,-0.9308086492181697,-0.88755657192117
91,-166.856328857983,-0.8443044946241707,-0.9135078182993697
92,-166.14357156936657,-0.88755657192117,-0.9308086492181697
93,-165.43081428075016,-0.9135078182993697,-0.9308086492181697
94,-164.71805699213377,-1.0346136347309685,-1.0346136347309685
95,-164.00529970351735,-1.7525981178611623,-1.6314923014295633
96,-163.29254241490094,-1.7785493642393617,-1.6314923014295633
97,-162.57978512628455,-1.8045006106175616,-1.666093963267163
98,-161.8670278376681,-1.6314923014295633,-1.7093460405641627
99,-161.15427054905172,-1.6141914705107634,-1.7093460405641627
100,-160.44151326043533,-1.666093963267163,-1.7093460405641627
101,-159.72875597181888,-1.7093460405641627,-1.666093963267163
102,-159.0159986832025,-1.7439477024017624,-1.666093963267163
103,-158.30324139458608,-1.7179964560235625,-1.666093963267163
104,-157.59048410596967,-1.5536385622949638,-1.5536385622949638
105,-156.87772681735328,-1.0086623883527688,-1.5536385622949638
106,-156.16496952873686,-1.1903211130001674,-1.5536385622949638
107,-155.45221224012045,-1.519036900457364,-1.5536385622949638
108,-154.73945495150406,-1.657443547807763,-1.657443547807763
109,-154.02669766288764,-2.107265151696559,-1.9256064270491606
110,-153.31394037427123,-1.9256064270491606,-1.9429072579679605
111,-152.60118308565484,-2.0467122434807594,-1.9429072579679605
112,-151.88842579703842,-2.00346016618376,-1.9429072579679605
113,-151.175668508422,-1.9429072579679605,-1.9256064270491606
114,-150.46291121980562,-1.6141914705107634,-1.9429072579679605
115,-149.75015393118917,-1.3806302531069656,-1.6747443787265628
116,-149.0373966425728,-1.527687315916764,-1.6141914705107634
117,-148.3246393539564,-2.271623045425158,-1.527687315916764
118,-147.61188206533996,-1.6747443787265628,-1.432532745863365
119,-146.89912477672357,-1.432532745863365,-1.432532745863365
120,-146.18636748810715,-0.9135078182993697,-0.9135078182993697
121,-145.47361019949074,-0.6366945235985719,-0.8616053255429703
122,-144.76085291087435,-0.8616053255429703,-0.8616053255429703
123,-144.04809562225793,-0.8529549100835703,-0.8616053255429703
124,-143.33533833364152,-0.8616053255429703,-0.8616053255429703
125,-142.62258104502513,-0.9481094801369689,-0.8616053255429703
