norad_id,track_id,period_sec,downloaded_products
32295,9578905,1.24,9578905_L.png;9578905_S.png;9578905_D.png;9578905_P.png;9578905_F.png;9578905_R.png;9578905_M.png;9578905_P.png
32295,9667695,1.24,9667695_L.png;9667695_S.png;9667695_D.png;9667695_P.png;9667695_F.png;9667695_R.png;9667695_M.png;9667695_P.png
32295,10886185,1.27,10886185_L.png;10886185_S.png;10886185_D.png;10886185_P.png;10886185_F.png;10886185_R.png;10886185_M.png;10886185_P.png
32295,10917820,1.27,10917820_L.png;10917820_S.png;10917820_D.png;10917820_P.png;10917820_F.png;10917820_R.png;10917820_M.png;10917820_P.png
32295,12234263,1.28,12234263_L.png;12234263_S.png;12234263_D.png;12234263_P.png;12234263_F.png;12234263_R.png;12234263_M.png;12234263_P.png
32295,12338040,1.28,12338040_L.png;12338040_S.png;12338040_D.png;12338040_P.png;12338040_F.png;12338040_R.png;12338040_M.png;12338040_P.png
32295,12359743,1.29,12359743_L.png;12359743_S.png;12359743_D.png;12359743_P.png;12359743_F.png;12359743_R.png;12359743_M.png;12359743_P.png
32295,12370348,1.29,12370348_L.png;12370348_S.png;12370348_D.png;12370348_P.png;12370348_F.png;12370348_R.png;12370348_M.png;12370348_P.png
32295,12698653,1.29,12698653_L.png;12698653_S.png;12698653_D.png;12698653_P.png;12698653_F.png;12698653_R.png;12698653_M.png;12698653_P.png
32295,12901775,1.3,12901775_L.png;12901775_S.png;12901775_D.png;12901775_P.png;12901775_F.png;12901775_R.png;12901775_M.png;12901775_P.png
32295,15451261,1.34,15451261_L.png;15451261_S.png;15451261_D.png;15451261_P.png;15451261_F.png;15451261_R.png;15451261_M.png;15451261_P.png
32295,15567806,1.34,15567806_L.png;15567806_S.png;15567806_D.png;15567806_P.png;15567806_F.png;15567806_R.png;15567806_M.png;15567806_P.png
32295,15793472,1.34,15793472_L.png;15793472_S.png;15793472_D.png;15793472_P.png;15793472_F.png;15793472_R.png;15793472_M.png;15793472_P.png
32295,15993585,1.35,15993585_L.png;15993585_S.png;15993585_D.png;15993585_P.png;15993585_F.png;15993585_R.png;15993585_M.png;15993585_P.png
32295,19290865,1.41,19290865_L.png;19290865_S.png;19290865_D.png;19290865_P.png;19290865_F.png;19290865_R.png;19290865_M.png;19290865_P.png
32295,22821797,1.47,22821797_L.png;22821797_S.png;22821797_D.png;22821797_P.png;22821797_F.png;22821797_R.png;22821797_M.png;22821797_P.png
32295,22990520,1.47,22990520_L.png;22990520_S.png;22990520_D.png;22990520_P.png;22990520_F.png;22990520_R.png;22990520_M.png;22990520_P.png
32295,23139513,1.47,23139513_L.png;23139513_S.png;23139513_D.png;23139513_P.png;23139513_F.png;23139513_R.png;23139513_M.png;23139513_P.png
32295,31079321,1.58,31079321_L.png;31079321_S.png;31079321_D.png;31079321_P.png;31079321_F.png;31079321_R.png;31079321_M.png;31079321_P.png
32295,31104424,1.58,31104424_L.png;31104424_S.png;31104424_D.png;31104424_P.png;31104424_F.png;31104424_R.png;31104424_M.png;31104424_P.png
32295,33150563,1.6,33150563_L.png;33150563_S.png;33150563_D.png;33150563_P.png;33150563_F.png;33150563_R.png;33150563_M.png;33150563_P.png
