pixel_x,time_seconds,magnitude,magnitude_smooth
56,-191.80283395955723,-1.4930856540791644,-0.08739314192667669
57,-191.09007667094085,-0.10036876511577653,-0.10036876511577653
58,-190.37731938232443,-0.07441751873757685,-0.7880767941380705
59,-189.664562093708,-0.04846627235937717,-0.7880767941380705
60,-188.95180480509163,-2.2456717990469577,-0.10036876511577653
61,-188.2390475164752,-1.4757848231603645,-0.7751011709489707
62,,,
63,,,
64,,,
65,,,
66,,,
67,-183.96250378477677,-1.346028591269366,-0.9827111419745691
68,-183.24974649616036,-1.0000119728933692,-1.0000119728933692
69,-182.53698920754394,-0.8875565719211695,-1.0302884270012687
70,-181.82423191892752,-0.965410311055769,-1.0605648811091684
71,-181.11147463031114,-1.0605648811091684,-1.0605648811091684
72,-180.39871734169472,-1.112467373865568,-1.112467373865568
73,-179.6859600530783,-1.5795898086731637,-1.5795898086731637
74,-178.97320276446192,-1.8823543497521609,-1.8823543497521609
75,-178.2604454758455,-1.9256064270491606,-1.8823543497521609
76,-177.54768818722908,-1.9083055961303608,-1.8823543497521609
77,-176.8349308986127,-1.98615933526496,-1.8823543497521609
78,-176.12217360999628,-1.519036900457364,-1.519036900457364
79,-175.40941632137987,-1.441183161322765,-1.441183161322765
80,-174.69665903276348,-1.311426929431766,-1.441183161322765
81,-173.98390174414706,-1.3979310840257653,-1.441183161322765
82,-173.27114445553065,-1.432532745863365,-1.441183161322765
83,-172.55838716691423,-1.519036900457364,-1.519036900457364
84,-171.8456298782978,-1.6141914705107634,-1.5795898086731637
85,-171.13287258968143,-1.8391022724551613,-1.5795898086731637
86,-170.420115301065,-1.674744378726563,-1.6055410550513636
87,-169.7073580124486,-1.5795898086731637,-1.6141914705107634
88,-168.9946007238322,-1.4152319149445654,-1.6055410550513636
89,-168.2818434352158,-1.6055410550513636,-1.5795898086731637
90,-167.56908614659937,-1.7093460405641627,-1.5103864849979642
91,-166.856328857983,-1.5103864849979642,-1.4152319149445654
92,-166.14357156936657,-1.0519144656497685,-1.3633294221881656
93,-165.43081428075016,-0.9481094801369689,-1.2768252675941665
94,-164.71805699213377,-1.121117789324968,-1.2422236057565668
95,-164.00529970351735,-1.3633294221881656,-1.121117789324968
96,-163.29254241490094,-1.2768252675941665,-1.121117789324968
97,-162.57978512628455,-1.2422236057565668,-1.121117789324968
98,-161.8670278376681,-1.0778657120279684,-1.112467373865568
99,-161.15427054905172,-1.0692152965685686,-1.112467373865568
100,-160.44151326043533,-1.0346136347309685,-1.112467373865568
101,-159.72875597181888,-1.112467373865568,-1.0778657120279684
102,-159.0159986832025,-1.1297682047843678,-1.0692152965685686
103,-158.30324139458608,-1.346028591269366,-1.0432640501903685
104,-157.59048410596967,-1.0432640501903685,-1.0432640501903685
105,-156.87772681735328,-0.9913615574339691,-0.9913615574339691
106,-156.16496952873686,-0.965410311055769,-0.965410311055769
107,-155.45221224012045,-0.7664507554895708,-0.965410311055769
108,-154.73945495150406,-0.7664507554895708,-0.956759895596369
109,-154.02669766288764,-0.956759895596369,-0.8010524173271709
110,-153.31394037427123,-1.0778657120279684,-0.7664507554895708
111,-152.60118308565484,-0.8010524173271709,-0.7664507554895708
112,-151.88842579703842,-0.5328895380857732,-0.5328895380857732
113,-151.175668508422,-0.27337707430377556,-0.3252795670601749
114,-150.46291121980562,-0.20417375062857612,-0.3252795670601749
115,-149.75015393118917,-0.30797873614137483,-0.3252795670601749
116,-149.0373966425728,-0.3252795670601749,-0.3252795670601749
117,-148.3246393539564,-0.5588407844639729,-0.5328895380857732
118,-147.61188206533996,-0.5674911999233725,-0.5328895380857732
119,-146.89912477672357,-0.5761416153827725,-0.5588407844639729
