norad_id,track_id,period_sec,downloaded_products
25502,1161076,18.89,1161076_L.png;1161076_S.png;1161076_D.png;1161076_P.png;1161076_F.png;1161076_R.png;1161076_M.png;1161076_P.png
25502,1205878,18.74,1205878_L.png;1205878_S.png;1205878_D.png;1205878_P.png;1205878_F.png;1205878_R.png;1205878_M.png;1205878_P.png
25502,4051072,19.29,4051072_L.png;4051072_S.png;4051072_D.png;4051072_P.png;4051072_F.png;4051072_R.png;4051072_M.png;4051072_P.png
25502,5228573,19.3,5228573_L.png;5228573_S.png;5228573_D.png;5228573_P.png;5228573_F.png;5228573_R.png;5228573_M.png;5228573_P.png
25502,8629648,19.6,8629648_L.png;8629648_S.png;8629648_D.png;8629648_P.png;8629648_F.png;8629648_R.png;8629648_M.png;8629648_P.png
25502,9628476,19.7,9628476_L.png;9628476_S.png;9628476_D.png;9628476_P.png;9628476_F.png;9628476_R.png;9628476_M.png;9628476_P.png
25502,9651422,19.72,9651422_L.png;9651422_S.png;9651422_D.png;9651422_P.png;9651422_F.png;9651422_R.png;9651422_M.png;9651422_P.png
25502,9810917,19.8,9810917_L.png;9810917_S.png;9810917_D.png;9810917_P.png;9810917_F.png;9810917_R.png;9810917_M.png;9810917_P.png
25502,10114183,19.83,10114183_L.png;10114183_S.png;10114183_D.png;10114183_P.png;10114183_F.png;10114183_R.png;10114183_M.png;10114183_P.png
25502,10237559,19.8,10237559_L.png;10237559_S.png;10237559_D.png;10237559_P.png;10237559_F.png;10237559_R.png;10237559_M.png;10237559_P.png
25502,10527695,20.07,10527695_L.png;10527695_S.png;10527695_D.png;10527695_P.png;10527695_F.png;10527695_R.png;10527695_M.png;10527695_P.png
25502,10595685,20.06,10595685_L.png;10595685_S.png;10595685_D.png;10595685_P.png;10595685_F.png;10595685_R.png;10595685_M.png;10595685_P.png
25502,10607182,20.1,10607182_L.png;10607182_S.png;10607182_D.png;10607182_P.png;10607182_F.png;10607182_R.png;10607182_M.png;10607182_P.png
25502,10621040,20.16,10621040_L.png;10621040_S.png;10621040_D.png;10621040_P.png;10621040_F.png;10621040_R.png;10621040_M.png;10621040_P.png
25502,10660824,20.2,10660824_L.png;10660824_S.png;10660824_D.png;10660824_P.png;10660824_F.png;10660824_R.png;10660824_M.png;10660824_P.png
25502,10724662,20.29,10724662_L.png;10724662_S.png;10724662_D.png;10724662_P.png;10724662_F.png;10724662_R.png;10724662_M.png;10724662_P.png
25502,12064659,20.35,12064659_L.png;12064659_S.png;12064659_D.png;12064659_P.png;12064659_F.png;12064659_R.png;12064659_M.png;12064659_P.png
25502,12153039,20.3,12153039_L.png;12153039_S.png;12153039_D.png;12153039_P.png;12153039_F.png;12153039_R.png;12153039_M.png;12153039_P.png
25502,12210021,20.39,12210021_L.png;12210021_S.png;12210021_D.png;12210021_P.png;12210021_F.png;12210021_R.png;12210021_M.png;12210021_P.png
25502,12234335,20.45,12234335_L.png;12234335_S.png;12234335_D.png;12234335_P.png;12234335_F.png;12234335_R.png;12234335_M.png;12234335_P.png
25502,12283110,20.38,12283110_L.png;12283110_S.png;12283110_D.png;12283110_P.png;12283110_F.png;12283110_R.png;12283110_M.png;12283110_P.png
25502,12304691,20.38,12304691_L.png;12304691_S.png;12304691_D.png;12304691_P.png;12304691_F.png;12304691_R.png;12304691_M.png;12304691_P.png
25502,12351602,20.49,12351602_L.png;12351602_S.png;12351602_D.png;12351602_P.png;12351602_F.png;12351602_R.png;12351602_M.png;12351602_P.png
25502,13047273,63.91,13047273_L.png;13047273_S.png;13047273_D.png;13047273_P.png;13047273_F.png;13047273_R.png;13047273_M.png;13047273_P.png
25502,13108570,83.37,13108570_L.png;13108570_S.png;13108570_D.png;13108570_P.png;13108570_F.png;13108570_R.png;13108570_M.png;13108570_P.png
25502,13110560,82.73,13110560_L.png;13110560_S.png;13110560_D.png;13110560_P.png;13110560_F.png;13110560_R.png;13110560_M.png;13110560_P.png
25502,13579848,93.4,13579848_L.png;13579848_S.png;13579848_D.png;13579848_P.png;13579848_F.png;13579848_R.png;13579848_M.png;13579848_P.png
25502,13597012,84.08,13597012_L.png;13597012_S.png;13597012_D.png;13597012_P.png;13597012_F.png;13597012_R.png;13597012_M.png;13597012_P.png
25502,13656395,147.9,13656395_L.png;13656395_S.png;13656395_D.png;13656395_P.png;13656395_F.png;13656395_R.png;13656395_M.png;13656395_P.png
25502,13669874,145.41,13669874_L.png;13669874_S.png;13669874_D.png;13669874_P.png;13669874_F.png;13669874_R.png;13669874_M.png;13669874_P.png
25502,13689746,144.6,13689746_L.png;13689746_S.png;13689746_D.png;13689746_P.png;13689746_F.png;13689746_R.png;13689746_M.png;13689746_P.png
25502,13722108,141.74,13722108_L.png;13722108_S.png;13722108_D.png;13722108_P.png;13722108_F.png;13722108_R.png;13722108_M.png;13722108_P.png
25502,13872573,21.09,13872573_L.png;13872573_S.png;13872573_D.png;13872573_P.png;13872573_F.png;13872573_R.png;13872573_M.png;13872573_P.png
25502,13891923,21.07,13891923_L.png;13891923_S.png;13891923_D.png;13891923_P.png;13891923_F.png;13891923_R.png;13891923_M.png;13891923_P.png
25502,13952373,21.09,13952373_L.png;13952373_S.png;13952373_D.png;13952373_P.png;13952373_F.png;13952373_R.png;13952373_M.png;13952373_P.png
