norad_id,track_id,period_sec,downloaded_products
40273,12064660,1.06,12064660_L.png;12064660_S.png;12064660_D.png;12064660_P.png;12064660_F.png;12064660_R.png;12064660_M.png;12064660_P.png
40273,12198026,1.06,12198026_L.png;12198026_S.png;12198026_D.png;12198026_P.png;12198026_F.png;12198026_R.png;12198026_M.png;12198026_P.png
40273,12355717,1.06,12355717_L.png;12355717_S.png;12355717_D.png;12355717_P.png;12355717_F.png;12355717_R.png;12355717_M.png;12355717_P.png
40273,13422087,1.09,13422087_L.png;13422087_S.png;13422087_D.png;13422087_P.png;13422087_F.png;13422087_R.png;13422087_M.png;13422087_P.png
40273,18250094,1.12,18250094_L.png;18250094_S.png;18250094_D.png;18250094_P.png;18250094_F.png;18250094_R.png;18250094_M.png;18250094_P.png
40273,18359285,1.12,18359285_L.png;18359285_S.png;18359285_D.png;18359285_P.png;18359285_F.png;18359285_R.png;18359285_M.png;18359285_P.png
40273,18631415,1.13,18631415_L.png;18631415_S.png;18631415_D.png;18631415_P.png;18631415_F.png;18631415_R.png;18631415_M.png;18631415_P.png
40273,18837566,1.13,18837566_L.png;18837566_S.png;18837566_D.png;18837566_P.png;18837566_F.png;18837566_R.png;18837566_M.png;18837566_P.png
40273,18838034,1.13,18838034_L.png;18838034_S.png;18838034_D.png;18838034_P.png;18838034_F.png;18838034_R.png;18838034_M.png;18838034_P.png
40273,20120404,1.16,20120404_L.png;20120404_S.png;20120404_D.png;20120404_P.png;20120404_F.png;20120404_R.png;20120404_M.png;20120404_P.png
40273,22046514,1.17,22046514_L.png;22046514_S.png;22046514_D.png;22046514_P.png;22046514_F.png;22046514_R.png;22046514_M.png;22046514_P.png
40273,22467674,1.23,22467674_L.png;22467674_S.png;22467674_D.png;22467674_P.png;22467674_F.png;22467674_R.png;22467674_M.png;22467674_P.png
40273,30635676,1.22,30635676_L.png;30635676_S.png;30635676_D.png;30635676_P.png;30635676_F.png;30635676_R.png;30635676_M.png;30635676_P.png
40273,33934752,1.26,33934752_L.png;33934752_S.png;33934752_D.png;33934752_P.png;33934752_F.png;33934752_R.png;33934752_M.png;33934752_P.png
40273,34295071,1.27,34295071_L.png;34295071_S.png;34295071_D.png;34295071_P.png;34295071_F.png;34295071_R.png;34295071_M.png;34295071_P.png
